date,open,high,low,close,volume,amount,turnover_pct,chg_pct
2021-11-04,2.28305307,2.29084506,2.27526108,2.27526108,175747451,514137106.86,0.0587,-0.3413
2021-11-05,2.27526108,2.28305307,2.27526108,2.27526108,140045753,409354618.76,0.0468,0.0
2021-11-08,2.27526108,2.28305307,2.27526108,2.27526108,133476075,390205928.0,0.0446,0.0
2021-11-09,2.28305307,2.28305307,2.27526108,2.27526108,122066587,356870671.04,0.0408,0.0
2021-11-10,2.27526108,2.28305307,2.26746909,2.26746909,184956370,539373112.53,0.0618,-0.3425
2021-11-11,2.26746909,2.29084506,2.26746909,2.29084506,228879063,670116515.48,0.0765,1.0309
2021-11-12,2.28305307,2.29084506,2.27526108,2.28305307,150743726,441395622.17,0.0504,-0.3401
2021-11-15,2.28305307,2.29084506,2.27526108,2.28305307,142080997,416384790.39,0.0475,0.0
2021-11-16,2.28305307,2.29084506,2.27526108,2.28305307,144486097,423157648.4,0.0483,0.0
2021-11-17,2.28305307,2.29084506,2.27526108,2.28305307,177832960,520597499.81,0.0594,0.0
2021-11-18,2.28305307,2.29084506,2.27526108,2.28305307,144809838,424794807.15,0.0484,0.0
2021-11-19,2.28305307,2.29863705,2.28305307,2.29863705,231489241,680471884.79,0.0773,0.6826
2021-11-22,2.29084506,2.29863705,2.28305307,2.29084506,184232654,541779988.76,0.0616,-0.339
2021-11-23,2.29084506,2.29084506,2.28305307,2.29084506,145440185,426858421.05,0.0486,0.0
2021-11-24,2.28305307,2.29084506,2.28305307,2.29084506,127755183,375007912.19,0.0427,0.0
2021-11-25,2.28305307,2.29084506,2.27526108,2.27526108,147321479,431653114.47,0.0492,-0.6803
2021-11-26,2.28305307,2.28305307,2.26746909,2.27526108,204104801,596008248.92,0.0682,0.0
2021-11-29,2.26746909,2.27526108,2.26746909,2.27526108,242686842,707234678.22,0.0811,0.0
2021-11-30,2.27526108,2.27526108,2.26746909,2.26746909,196939872,573780631.52,0.0658,-0.3425
2021-12-01,2.26746909,2.28305307,2.26746909,2.28305307,181093243,529354120.52,0.0605,0.6873
2021-12-02,2.28305307,2.28305307,2.27526108,2.28305307,180201694,526986742.48,0.0602,0.0
2021-12-03,2.27526108,2.28305307,2.27526108,2.28305307,157691575,461163779.0,0.0527,0.0
2021-12-06,2.28305307,2.29084506,2.27526108,2.28305307,216585245,635246464.85,0.0724,0.0
2021-12-07,2.29084506,2.29863705,2.28305307,2.29084506,302280672,888732615.16,0.101,0.3413
2021-12-08,2.29863705,2.29863705,2.28305307,2.28305307,256122314,751441425.02,0.0856,-0.3401
2021-12-09,2.29084506,2.29863705,2.28305307,2.29863705,328748352,967615114.24,0.1098,0.6826
2021-12-10,2.29084506,2.29863705,2.29084506,2.29084506,342293488,1008094284.9,0.1144,-0.339
2021-12-13,2.29084506,2.29863705,2.28305307,2.28305307,257586782,757737433.15,0.0861,-0.3401
2021-12-14,2.28305307,2.29084506,2.27526108,2.28305307,242429570,711139282.82,0.081,0.0
2021-12-15,2.27526108,2.29084506,2.27526108,2.28305307,240547258,703990435.22,0.0804,0.0
2021-12-16,2.28305307,2.29084506,2.27526108,2.29084506,252412362,740494977.99,0.0843,0.3413
2021-12-17,2.29084506,2.29084506,2.28305307,2.28305307,210258146,616808821.78,0.0703,-0.3401
2021-12-20,2.28305307,2.29084506,2.28305307,2.29084506,175776174,516219774.82,0.0587,0.3413
2021-12-21,2.29084506,2.29863705,2.28305307,2.29084506,276515520,814104654.86,0.0924,0.0
2021-12-22,2.29863705,2.30642904,2.29084506,2.29084506,235006861,692520590.34,0.0785,0.0
2021-12-23,2.29084506,2.29863705,2.28305307,2.29084506,164013232,482534694.08,0.0548,0.0
2021-12-24,2.29084506,2.29863705,2.28305307,2.29084506,133179200,391172260.0,0.0445,0.0
2021-12-27,2.29084506,2.29084506,2.28305307,2.29084506,131071501,384839280.93,0.0438,0.0
2021-12-28,2.29084506,2.30642904,2.28305307,2.29863705,294658464,868094784.84,0.0985,0.3401
2021-12-29,2.29084506,2.29863705,2.28305307,2.29084506,161999103,476009267.68,0.0541,-0.339
2021-12-30,2.29084506,2.29084506,2.28305307,2.29084506,183023418,537349468.74,0.0612,0.0
2021-12-31,2.29084506,2.29084506,2.28305307,2.29084506,107307436,315010030.48,0.0359,0.0
2022-01-04,2.29084506,2.29863705,2.28305307,2.29084506,231024414,679017949.64,0.0772,0.0
2022-01-05,2.29084506,2.31422103,2.29084506,2.31422103,472465072,1398675655.48,0.1579,1.0204
2022-01-06,2.30642904,2.31422103,2.30642904,2.30642904,221426817,656735414.32,0.074,-0.3367
2022-01-07,2.30642904,2.337597,2.30642904,2.32980501,419049008,1249574466.26,0.14,1.0135
2022-01-10,2.32980501,2.34538899,2.32201302,2.32980501,313520688,938625586.34,0.1048,0.0
2022-01-11,2.32980501,2.34538899,2.32201302,2.337597,242776320,728641238.12,0.0811,0.3344
2022-01-12,2.337597,2.34538899,2.31422103,2.32201302,253262375,755871613.16,0.0846,-0.6667
2022-01-13,2.32201302,2.34538899,2.32201302,2.34538899,336983728,1011846583.0,0.1126,1.0067
2022-01-14,2.34538899,2.34538899,2.30642904,2.31422103,313231504,934219573.0,0.1047,-1.3289
2022-01-17,2.31422103,2.32201302,2.29863705,2.29863705,201754618,596789938.93,0.0674,-0.6734
2022-01-18,2.30642904,2.32980501,2.29863705,2.32980501,297302000,882677889.29,0.0993,1.3559
2022-01-19,2.32201302,2.32980501,2.31422103,2.32201302,215592347,643322952.06,0.072,-0.3344
2022-01-20,2.32980501,2.34538899,2.32201302,2.337597,361103008,1083894311.32,0.1207,0.6711
2022-01-21,2.337597,2.34538899,2.32201302,2.337597,228763781,683519553.8,0.0764,0.0
2022-01-24,2.32980501,2.337597,2.31422103,2.32980501,287347152,858239145.5,0.096,-0.3333
